,éûçè,èoóàçÇ,ñÒíËíl
17636,10:05:20,200.0,1517.0
17637,10:05:20,100.0,1516.0
17638,10:05:20,200.0,1516.0
17639,10:05:20,100.0,1516.0
17640,10:05:19,100.0,1517.0
17641,10:05:19,200.0,1517.0
17642,10:05:19,100.0,1516.0
17643,10:05:19,200.0,1516.0
17644,10:05:19,100.0,1516.0
17645,10:05:18,100.0,1517.0
17646,10:05:18,100.0,1517.0
17647,10:05:18,100.0,1517.0
17648,10:05:18,100.0,1518.0
17649,10:05:18,1700.0,1517.0
17650,10:05:18,200.0,1516.0
17651,10:05:18,400.0,1516.0
17652,10:05:18,500.0,1516.0
17653,10:05:18,100.0,1515.0
17654,10:05:17,200.0,1515.0
17655,10:05:17,1600.0,1515.0
17656,10:05:16,400.0,1514.0
17657,10:05:14,100.0,1515.0
17658,10:05:14,100.0,1514.0
17659,10:05:14,100.0,1515.0
17660,10:05:14,100.0,1515.0
17661,10:05:12,200.0,1514.0
17662,10:05:12,100.0,1514.0
17663,10:05:12,100.0,1513.0
17664,10:05:12,300.0,1514.0
17665,10:05:12,100.0,1513.0
17666,10:05:12,300.0,1514.0
17667,10:05:10,100.0,1515.0
17668,10:05:08,200.0,1514.0
17669,10:05:08,300.0,1513.0
17670,10:05:08,300.0,1514.0
17671,10:05:08,100.0,1514.0
17672,10:05:06,100.0,1515.0
17673,10:05:05,400.0,1514.0
17674,10:05:05,100.0,1515.0
17675,10:05:05,200.0,1515.0
17676,10:05:05,400.0,1515.0
17677,10:05:04,400.0,1515.0
17678,10:05:03,100.0,1515.0
17679,10:05:02,100.0,1514.0
17680,10:05:02,1100.0,1514.0
17681,10:05:02,100.0,1514.0
17682,10:05:01,300.0,1514.0
17683,10:05:01,200.0,1513.0
17684,10:05:01,100.0,1512.0
17685,10:05:01,200.0,1513.0
17686,10:05:00,100.0,1512.0
17687,10:04:59,100.0,1513.0
17688,10:04:57,100.0,1513.0
17689,10:04:56,100.0,1513.0
17690,10:04:55,100.0,1512.0
17691,10:04:54,100.0,1513.0
17692,10:04:54,100.0,1513.0
17693,10:04:54,200.0,1514.0
17694,10:04:54,100.0,1513.0
17695,10:04:54,100.0,1513.0
17696,10:04:54,100.0,1513.0
17697,10:04:53,200.0,1513.0
17698,10:04:53,100.0,1513.0
17699,10:04:53,100.0,1513.0
17700,10:04:53,300.0,1513.0
17701,10:04:52,100.0,1513.0
17702,10:04:52,900.0,1512.0
17703,10:04:52,1000.0,1512.0
17704,10:04:50,100.0,1511.0
17705,10:04:50,200.0,1511.0
17706,10:04:50,200.0,1511.0
17707,10:04:50,400.0,1511.0
17708,10:04:50,100.0,1511.0
17709,10:04:49,200.0,1511.0
17710,10:04:49,400.0,1512.0
17711,10:04:49,500.0,1511.0
17712,10:04:48,100.0,1512.0
17713,10:04:48,200.0,1511.0
17714,10:04:47,300.0,1510.0
17715,10:04:47,200.0,1511.0
17716,10:04:47,100.0,1510.0
17717,10:04:46,100.0,1511.0
17718,10:04:46,100.0,1511.0
17719,10:04:45,100.0,1511.0
17720,10:04:45,500.0,1511.0
17721,10:04:45,100.0,1510.0
17722,10:04:45,100.0,1511.0
17723,10:04:45,100.0,1510.0
17724,10:04:45,700.0,1511.0
17725,10:04:45,300.0,1510.0
17726,10:04:45,100.0,1509.0
17727,10:04:44,400.0,1509.0
17728,10:04:44,100.0,1507.0
17729,10:04:44,4000.0,1508.0
17730,10:04:44,100.0,1509.0
17731,10:04:44,100.0,1509.0
17732,10:04:44,1200.0,1509.0
17733,10:04:44,100.0,1509.0
17734,10:04:44,200.0,1508.0
17735,10:04:43,100.0,1508.0
17736,10:04:43,100.0,1507.0
17737,10:04:42,300.0,1507.0
17738,10:04:42,100.0,1508.0
17739,10:04:42,400.0,1508.0
17740,10:04:42,300.0,1508.0
17741,10:04:42,100.0,1508.0
17742,10:04:42,100.0,1508.0
17743,10:04:42,6300.0,1509.0
